2018-05-16 11:41:00.837 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/update_ref],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.JobController.updateRef(com.ftoul.bi.etl.model.JobRef2)
2018-05-16 11:41:00.837 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/refresh_job],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.JobController.refreshJob()
2018-05-16 11:41:00.837 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/start],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.JobController.startJobSchd()
2018-05-16 11:41:00.837 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/stop],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.JobController.stopJobSchd()
2018-05-16 11:41:00.838 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/get_writer_lock],produces=[application/json;charset=utf-8]}" onto public java.util.List<com.ftoul.bi.etl.model.JobLockObj> com.ftoul.bi.etl.controller.JobOprObjController.getWriterLock()
2018-05-16 11:41:00.838 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/manager/get_lock_byjob],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.JobOprObjController.getLockObjsByJobId(int)
2018-05-16 11:41:00.839 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/monitor/lock_index]}" onto public java.lang.String com.ftoul.bi.etl.controller.LockObjController.dsInstIndex()
2018-05-16 11:41:00.839 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/monitor/lock_list],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.LockObjController.lockList()
2018-05-16 11:41:00.839 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/monitor/delete_lock],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.LockObjController.deleteLock(java.lang.String)
2018-05-16 11:41:00.840 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/checkLogin],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.LoginController.checkLogin(java.lang.String,java.lang.String)
2018-05-16 11:41:00.840 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/login]}" onto public java.lang.String com.ftoul.bi.etl.controller.LoginController.login()
2018-05-16 11:41:00.840 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/system/menu_add],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.MenuController.addOrUpdate(com.ftoul.bi.etl.model.Menu)
2018-05-16 11:41:00.840 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/system/menu_index]}" onto public java.lang.String com.ftoul.bi.etl.controller.MenuController.menuIndex()
2018-05-16 11:41:00.840 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/system/menu_list]}" onto public java.lang.Object com.ftoul.bi.etl.controller.MenuController.menuList()
2018-05-16 11:41:00.840 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/system/get_menus]}" onto public java.lang.Object com.ftoul.bi.etl.controller.MenuController.getMenus()
2018-05-16 11:41:00.841 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/system/get_all_menus],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.MenuController.getMenusByUserId(int)
2018-05-16 11:41:00.841 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/system/get_root_menus],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.MenuController.getRootMenus()
2018-05-16 11:41:00.842 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/monitor/queue_delete],produces=[application/json;charset=utf-8]}" onto public java.lang.String com.ftoul.bi.etl.controller.QueueController.delete(java.lang.String)
2018-05-16 11:41:00.842 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/monitor/queue_add],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.QueueController.addOrUpdate(com.ftoul.bi.etl.model.JobQueue)
2018-05-16 11:41:00.842 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/monitor/queue_index]}" onto public java.lang.String com.ftoul.bi.etl.controller.QueueController.queueIndex()
2018-05-16 11:41:00.842 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/monitor/queue_list],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.QueueController.queueList()
2018-05-16 11:41:00.843 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/system/role_add],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.RoleController.addRole(com.ftoul.bi.etl.model.Role,java.lang.String)
2018-05-16 11:41:00.843 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/system/role_list2],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.RoleController.getRoles2()
2018-05-16 11:41:00.843 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/system/role_list],produces=[application/json;charset=utf-8]}" onto public java.util.List<com.ftoul.bi.etl.model.Role> com.ftoul.bi.etl.controller.RoleController.getRoles()
2018-05-16 11:41:00.843 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/system/role_index]}" onto public java.lang.String com.ftoul.bi.etl.controller.RoleController.roleIndex()
2018-05-16 11:41:00.843 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/system/user_add],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.UserController.addOrUpdate(com.ftoul.bi.etl.model.User)
2018-05-16 11:41:00.844 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/system/user_list],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.UserController.queueList(int,int)
2018-05-16 11:41:00.844 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/system/user_index]}" onto public java.lang.String com.ftoul.bi.etl.controller.UserController.userIndex()
2018-05-16 11:41:00.844 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/system/change_pwd],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.UserController.changePwd(java.lang.String,java.lang.String)
2018-05-16 11:41:00.844 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/system/reset_pwd],produces=[application/json;charset=utf-8]}" onto public java.lang.Object com.ftoul.bi.etl.controller.UserController.resetPwd(int)
2018-05-16 11:41:00.846 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-05-16 11:41:00.846 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-05-16 11:41:00.929 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-05-16 11:41:00.929 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-05-16 11:41:01.083 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-05-16 11:41:01.816 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2018-05-16 11:41:01.888 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
2018-05-16 11:41:01.894 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
2018-05-16 11:41:01.904 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
